20,Valentin,Gosson,vgossonj@boston.com,754 538 8249,INFORMATICA,1.0
8,Dietrich,Worling,dworling7@yellowbook.com,703 932 8322,CARPINTERIA,1.0
13,Any,Dumingos,adumingosc@rediff.com,255 920 4140,FONTANERIA,4.0
14,Simone,Kabisch,skabischd@blog.com,691 481 4864,ALBAÑILERIA,5.0
23,Ase,Rainard,arainardm@ca.gov,860 881 5256,PINTURA,5.0
11,Templeton,Desouza,tdesouzaa@nba.com,749 487 8767,ALBAÑILERIA,4.0
10,Cal,Vanelli,cvanelli9@walmart.com,447 221 7216,INFORMATICA,2.0
1,Ronald,Knight,rknight0@about.me,748 730 0657,ALBAÑILERIA,3.0
5,Conan,Jahns,cjahns4@ted.com,789 937 9531,INFORMATICA,4.0
4,Shellysheldon,Prawle,sprawle3@netvibes.com,375 392 4376,INFORMATICA,5.0
19,Andonis,Tench,atenchi@cyberchimps.com,296 673 7101,CARPINTERIA,5.0
9,Rudolf,Zecchinelli,rzecchinelli8@washingtonpost.com,356 561 2427,INFORMATICA,1.0
16,Nataniel,Beckinsale,nbeckinsalef@people.com.cn,940 867 4688,FONTANERIA,5.0
18,Augustus,Ciccottini,aciccottinih@independent.co.uk,543 774 0358,PINTURA,4.0
12,Darius,Shyres,dshyresb@google.cn,586 151 6508,ALBAÑILERIA,3.0
21,Darnell,Mueller,dmuellerk@bandcamp.com,104 720 5539,INFORMATICA,3.0
7,Mikel,Ambrus,mambrus6@blog.com,439 505 1018,CARPINTERIA,4.0
6,Michail,Gloyens,mgloyens5@gravatar.com,916 655 5124,INFORMATICA,4.0
15,Tadeo,McGowing,tmcgowinge@nps.gov,972 532 9293,CARPINTERIA,2.0
25,Denny,Worviell,dworviello@livejournal.com,955 644 8824,CARPINTERIA,4.0
24,Montgomery,Buckham,mbuckhamn@indiatimes.com,478 597 3196,INFORMATICA,4.0
3,Brandon,Corlett,bcorlett2@eventbrite.com,686 191 0012,INFORMATICA,3.0
17,Englebert,Elloit,eelloitg@hp.com,100 665 3845,ALBAÑILERIA,3.0
